step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
133,0.4897,0.4897,0.9440,-18.5112,0.0160,1.0000
134,0.4727,0.4727,0.9372,-16.4100,0.0542,1.0000
135,0.3595,0.3595,0.9515,-11.5674,0.1017,1.0000
136,0.4171,0.4171,0.9455,-13.1240,0.0060,1.0000
137,0.3791,0.3791,0.9429,-13.5961,0.0686,1.0000
138,0.4849,0.4849,0.9344,-17.4181,0.2730,1.0000
139,0.4879,0.4879,0.9346,-13.7640,0.0000,1.0000
140,0.4153,0.4153,0.9436,-12.6885,0.0880,1.0000
141,0.3644,0.3644,0.9554,-20.0702,0.1916,1.0000
142,0.4342,0.4342,0.9474,-16.4239,0.1467,1.0000
143,0.4291,0.4291,0.9599,-14.9985,0.0801,1.0000
144,0.4173,0.4173,0.9422,-20.7741,0.0475,1.0000
145,0.4647,0.4647,0.9412,-21.0586,0.1257,1.0000
146,0.5028,0.5028,0.9490,-22.4274,0.1765,1.0000
147,0.4499,0.4499,0.9645,-20.4965,0.0000,1.0000
148,0.3773,0.3773,0.9490,-13.8221,0.0356,1.0000
149,0.4560,0.4560,0.9568,-21.6363,0.0078,1.0000
150,0.4185,0.4185,0.9598,-25.0245,0.0000,1.0000
151,0.4245,0.4245,0.9535,-20.1011,0.0000,1.0000
152,0.3626,0.3626,0.9542,-28.6870,0.0000,1.0000
153,0.3624,0.3624,0.9611,-14.1747,0.0000,1.0000
154,0.4442,0.4442,0.9593,-17.2965,0.1492,1.0000
155,0.4031,0.4031,0.9518,-21.0198,0.1010,1.0000
156,0.4123,0.4123,0.9567,-24.5551,0.0000,1.0000
157,0.4652,0.4652,0.9480,-23.5489,0.0000,1.0000
158,0.3312,0.3312,0.9681,-15.3079,0.0719,1.0000
159,0.4699,0.4699,0.9554,-33.9167,0.0804,1.0000
160,0.3411,0.3411,0.9580,-17.1870,0.0129,1.0000
161,0.3776,0.3776,0.9575,-23.4443,0.0000,1.0000
162,0.3469,0.3469,0.9515,-12.6695,0.0000,1.0000
163,0.3675,0.3675,0.9604,-20.6790,0.1408,1.0000
164,0.3911,0.3911,0.9512,-19.2148,0.0144,1.0000
165,0.3443,0.3443,0.9632,-24.2676,0.2206,1.0000
166,0.3333,0.3333,0.9585,-14.6657,0.0448,1.0000
