epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
17,10600,0.326996,,0.00012803,1583.3,283.56
17,10650,0.283592,,0.00012742,1570.5,284.83
17,10700,0.334178,,0.0001268,1573.7,286.1
18,10750,0.324515,,0.00012619,1569.9,287.37
18,10800,0.399643,,0.00012557,1575.4,288.63
18,10850,0.335056,,0.00012496,1554.6,289.9
18,10900,0.383414,,0.00012434,1571.3,291.18
18,10950,0.466618,,0.00012372,1565.8,292.46
18,11000,0.304161,,0.0001231,1533.2,293.76
18,11000,,0.392609,0.0001231,1533.2,294.89
18,11050,0.452711,,0.00012248,1460.5,296.4
18,11100,0.433603,,0.00012186,1508.1,297.69
18,11150,0.426837,,0.00012124,1595.3,298.91
18,11200,0.477512,,0.00012062,1516.2,300.25
18,11250,0.494508,,0.00011999,1465.7,301.59
18,11300,0.270954,,0.00011937,1460.7,302.96
19,11350,0.484781,,0.00011874,1510.4,304.32
19,11400,0.426463,,0.00011812,1068.8,306.13
19,11450,0.307104,,0.00011749,1066.4,307.91
19,11500,0.358861,,0.00011686,952.4,310.02
19,11500,,0.392581,0.00011686,952.4,311.91
19,11550,0.348064,,0.00011623,957.9,315.81
19,11600,0.558521,,0.00011561,952.1,317.89
19,11650,0.500512,,0.00011498,923.6,320.02
19,11700,0.423865,,0.00011435,1057.0,322.04
19,11750,0.437368,,0.00011372,1375.7,323.53
19,11800,0.278095,,0.00011308,1483.0,324.84
19,11850,0.549151,,0.00011245,1532.6,326.16
19,11900,0.401033,,0.00011182,1721.9,327.37
19,11950,0.270524,,0.00011119,1499.8,328.68
20,12000,0.317793,,0.00011055,1506.8,330.0
20,12000,,0.381151,0.00011055,1506.8,331.19
20,12050,0.384585,,0.00010992,1442.0,332.7
20,12100,0.327638,,0.00010929,1525.2,333.98
20,12150,0.276945,,0.00010865,1538.5,335.27
20,12200,0.445172,,0.00010802,1523.2,336.57
20,12250,0.397512,,0.00010738,1519.8,337.88
20,12300,0.48055,,0.00010675,1384.2,339.3
20,12350,0.379571,,0.00010611,1253.1,341.06
