step,mean_qed,mean_mw,mean_reward,mean_diversity,loss,mean_kl,validity
238,0.7023,296.45,0.9930,0.8783,-0.1117,0.0000,1.0000
239,0.7782,296.79,1.0684,0.8583,-0.2308,0.0000,1.0000
240,0.7967,291.86,1.0862,0.8713,-0.1571,0.2592,1.0000
241,0.7500,291.26,1.0467,0.8661,0.0482,0.8432,1.0000
242,0.7273,298.48,1.0200,0.8656,-0.5192,0.0320,1.0000
243,0.7397,292.92,1.0289,0.8691,-0.3944,0.2762,1.0000
244,0.7761,287.41,1.0592,0.8626,-0.3669,0.1189,1.0000
245,0.7557,299.27,1.0503,0.8604,-0.2104,0.8800,1.0000
246,0.7355,294.02,1.0304,0.8535,-0.5811,0.5520,1.0000
247,0.7329,296.97,1.0309,0.8706,-0.1790,0.0000,1.0000
248,0.7219,297.95,1.0198,0.8689,-0.5932,1.8568,1.0000
249,0.7739,298.07,1.0730,0.8526,-0.3483,0.2059,1.0000
250,0.7551,297.23,1.0547,0.8595,-0.2424,0.0000,1.0000
251,0.7670,294.63,1.0621,0.8688,-0.1232,0.4498,1.0000
252,0.8022,298.18,1.0959,0.8622,-0.3634,0.0000,1.0000
253,0.7087,305.22,1.0057,0.8757,-0.4285,1.0125,1.0000
254,0.7299,305.74,1.0244,0.8648,-1.1074,1.5778,1.0000
255,0.7164,321.31,1.0164,0.8709,-0.8728,0.0000,1.0000
256,0.7683,299.65,1.0665,0.8528,-0.5311,0.4635,1.0000
257,0.7097,305.63,0.9923,0.8832,-0.3282,0.0407,1.0000
258,0.7300,278.16,1.0056,0.8756,-0.3575,0.3298,1.0000
259,0.7333,293.30,1.0203,0.8736,-0.0085,0.5656,1.0000
260,0.7358,301.00,1.0256,0.8825,0.0106,1.4182,1.0000
261,0.7497,299.30,1.0482,0.8664,0.0385,1.0519,1.0000
262,0.7303,292.80,1.0178,0.8560,-0.6340,0.0000,1.0000
263,0.7681,308.33,1.0670,0.8563,-0.4051,0.0000,1.0000
264,0.7365,289.32,1.0257,0.8707,-0.0155,0.7253,1.0000
265,0.6732,304.97,0.9728,0.8585,-0.3148,0.0000,1.0000
266,0.7666,303.46,1.0606,0.8523,0.0661,0.2199,1.0000
267,0.7406,295.94,1.0380,0.8726,-0.5513,0.2375,1.0000
268,0.7349,307.05,1.0247,0.8600,-0.6726,1.0162,1.0000
269,0.7068,291.23,0.9860,0.8693,-0.1031,0.0380,1.0000
270,0.6809,294.24,0.9558,0.8792,-0.6899,0.9343,1.0000
271,0.6933,310.28,0.9881,0.8782,-0.2733,0.8061,1.0000
272,0.6715,279.25,0.9438,0.8666,-0.7603,0.0000,1.0000
273,0.6830,298.41,0.9692,0.8705,-0.8842,0.2934,1.0000
274,0.7229,302.48,1.0114,0.8718,-0.9446,0.0000,1.0000
275,0.7419,305.17,1.0338,0.8664,-0.3959,0.0000,1.0000
276,0.6937,306.76,0.9893,0.8785,-0.3312,0.6707,1.0000
277,0.7686,304.88,1.0593,0.8688,-0.6139,0.2234,1.0000
278,0.7139,291.67,1.0031,0.8690,-1.0899,0.1362,1.0000
279,0.7429,302.39,1.0429,0.8742,-0.0256,0.5404,1.0000
280,0.7352,308.14,1.0352,0.8660,-0.7485,0.2453,1.0000
281,0.7283,293.73,1.0238,0.8668,-0.4051,0.7618,1.0000
282,0.7301,316.26,1.0290,0.8785,-0.5147,0.0000,1.0000
283,0.7351,305.79,1.0333,0.8725,-0.9250,0.0000,1.0000
284,0.7166,300.48,0.9955,0.8773,-0.2354,0.0000,1.0000
285,0.7381,301.16,1.0330,0.8652,0.1143,0.0187,1.0000
286,0.7185,294.33,1.0065,0.8692,-0.3749,0.0000,1.0000
287,0.6938,305.52,0.9921,0.8726,-0.8849,0.4322,1.0000
288,0.7874,299.57,1.0851,0.8626,-0.2548,1.5960,1.0000
289,0.7432,299.39,1.0410,0.8603,-0.5795,0.0534,1.0000
290,0.6963,318.14,0.9883,0.8775,-1.6010,0.3485,1.0000
291,0.7425,294.54,1.0393,0.8577,0.0296,0.7830,1.0000
292,0.7455,299.67,1.0369,0.8741,-0.3353,0.9130,1.0000
293,0.7343,285.21,1.0148,0.8844,-0.1699,2.1966,1.0000
294,0.7329,302.42,1.0329,0.8677,-0.1128,0.5563,1.0000
295,0.6695,298.29,0.9435,0.8836,-0.5073,0.0000,1.0000
296,0.7252,290.67,1.0101,0.8746,-0.4695,1.1443,1.0000
297,0.7254,295.07,1.0118,0.8671,-0.3215,0.5581,1.0000
298,0.8018,293.95,1.1014,0.8630,-0.2963,0.0000,1.0000
299,0.6726,295.74,0.9544,0.8732,-0.7855,1.3954,1.0000
300,0.7165,297.61,1.0159,0.8720,-0.7518,0.0096,1.0000
