step,mean_qed,mean_mw,mean_reward,mean_diversity,loss,mean_kl,validity
129,0.8034,329.10,1.1029,0.8122,-0.3410,0.0000,1.0000
130,0.8107,331.48,1.1107,0.8197,-0.0628,0.1760,1.0000
131,0.7764,329.79,1.0764,0.8282,-0.3158,0.0246,1.0000
132,0.7786,337.30,1.0786,0.8339,-0.1453,0.0000,1.0000
133,0.8248,332.39,1.1248,0.8217,-0.1188,0.0000,1.0000
134,0.7893,334.29,1.0893,0.8133,-0.1444,0.0000,1.0000
135,0.8148,335.51,1.1148,0.8082,-0.2569,0.0000,1.0000
136,0.7869,335.64,1.0869,0.8264,-0.1041,0.3155,1.0000
137,0.7829,328.55,1.0829,0.8325,-0.0663,0.0311,1.0000
138,0.8163,323.79,1.1163,0.8126,-0.1733,0.0000,1.0000
139,0.7976,328.54,1.0976,0.8150,-0.2201,0.0000,1.0000
140,0.8021,329.64,1.1021,0.8160,-0.1708,0.0000,1.0000
141,0.8021,335.11,1.1021,0.8048,0.0036,0.0000,1.0000
142,0.8038,336.03,1.1038,0.8175,-0.0877,0.0974,1.0000
143,0.8171,333.48,1.1171,0.8002,-0.0640,0.0000,1.0000
144,0.8015,331.32,1.1015,0.8032,-0.1764,0.0000,1.0000
145,0.8124,313.70,1.1030,0.8132,-0.0703,0.0000,1.0000
146,0.7892,335.39,1.0892,0.7974,0.0971,0.0000,1.0000
147,0.8037,318.72,1.0983,0.8333,-0.1679,0.0000,1.0000
148,0.8015,327.67,1.1015,0.8209,-0.0341,0.0000,1.0000
149,0.8114,334.73,1.1114,0.8089,-0.0557,0.0000,1.0000
150,0.7439,331.16,1.0436,0.8239,-0.1988,0.0000,1.0000
151,0.8313,331.88,1.1313,0.8119,-0.1864,0.0000,1.0000
152,0.8375,327.66,1.1375,0.8169,-0.0544,0.0000,1.0000
153,0.7922,332.30,1.0922,0.8181,-0.1806,0.0000,1.0000
154,0.7975,322.10,1.0926,0.8146,-0.0720,0.0165,1.0000
155,0.8020,332.20,1.1020,0.8084,-0.0853,0.0000,1.0000
156,0.7964,326.54,1.0964,0.8365,0.0187,0.0000,1.0000
157,0.8112,340.45,1.1112,0.8141,-0.1930,0.0000,1.0000
158,0.8181,331.04,1.1181,0.8061,0.0071,0.0000,1.0000
159,0.8384,325.82,1.1384,0.8078,-0.1563,0.0000,1.0000
160,0.8148,335.51,1.1148,0.8023,-0.2642,0.0000,1.0000
161,0.8185,329.63,1.1185,0.8116,-0.2204,0.0000,1.0000
162,0.8192,325.57,1.1185,0.8314,-0.2845,0.0000,1.0000
163,0.8380,334.23,1.1380,0.8058,0.0528,0.0000,1.0000
164,0.8285,322.10,1.1285,0.8149,-0.0722,0.0000,1.0000
165,0.8123,324.04,1.1115,0.8347,-0.3583,0.0000,1.0000
166,0.7946,326.62,1.0946,0.8262,-0.0063,0.0000,1.0000
167,0.8102,324.17,1.1035,0.8062,-0.3073,0.0000,1.0000
168,0.7865,326.46,1.0865,0.8071,0.0140,0.4923,1.0000
169,0.8019,324.23,1.0925,0.8274,-0.2412,0.0000,1.0000
170,0.7760,322.79,1.0760,0.8313,-0.0538,0.1981,1.0000
171,0.8063,326.97,1.1046,0.7955,-0.0833,0.0000,1.0000
172,0.8507,329.24,1.1507,0.8074,-0.0311,0.3361,1.0000
173,0.8004,324.64,1.1004,0.8156,-0.1555,0.3129,1.0000
174,0.7723,329.46,1.0723,0.8071,-0.3271,0.2596,1.0000
175,0.8320,328.85,1.1320,0.7812,-0.1345,0.0000,1.0000
176,0.7844,333.71,1.0844,0.7979,-0.2944,0.0000,1.0000
177,0.7987,327.23,1.0987,0.8062,-0.0910,0.4239,1.0000
178,0.8247,328.23,1.1247,0.7949,-0.0654,0.0000,1.0000
179,0.8170,329.33,1.1170,0.8081,-0.1948,0.0000,1.0000
180,0.8542,331.26,1.1542,0.7853,-0.0247,0.3891,1.0000
181,0.8080,332.18,1.1080,0.7888,-0.3589,0.0000,1.0000
182,0.7895,329.39,1.0895,0.7973,-0.5017,0.3640,1.0000
183,0.8339,336.11,1.1339,0.7951,-0.2027,0.0000,1.0000
184,0.8464,334.69,1.1464,0.7741,-0.0481,0.0000,1.0000
185,0.8182,333.79,1.1182,0.8020,-0.0995,0.0000,1.0000
186,0.8013,326.57,1.0998,0.8212,-0.0789,0.4497,1.0000
187,0.8433,329.30,1.1433,0.8101,0.0171,0.0000,1.0000
188,0.8310,330.98,1.1310,0.8066,-0.1007,0.0000,1.0000
189,0.8066,322.42,1.0967,0.8031,-0.2623,0.3134,1.0000
190,0.8141,333.47,1.1141,0.8127,-0.2079,0.0000,1.0000
191,0.8166,330.27,1.1166,0.8088,-0.1473,0.0000,1.0000
192,0.8280,335.04,1.1280,0.7634,-0.0563,0.0000,1.0000
193,0.7886,325.17,1.0886,0.8177,-0.2802,0.0000,1.0000
194,0.8102,321.63,1.1102,0.8085,-0.2290,0.1276,1.0000
195,0.8008,327.35,1.1008,0.7933,-0.0516,0.0000,1.0000
196,0.8240,327.31,1.1240,0.8178,-0.0512,0.0224,1.0000
197,0.7724,338.14,1.0724,0.8212,-0.7026,0.0000,1.0000
198,0.8367,325.07,1.1367,0.7915,-0.3501,0.0000,1.0000
199,0.8220,332.66,1.1220,0.7742,-0.1204,0.0000,1.0000
200,0.7979,323.53,1.0842,0.8002,-0.5103,0.0000,1.0000
201,0.8076,329.38,1.1071,0.7879,-0.3202,0.0000,1.0000
202,0.8062,329.13,1.1062,0.7977,-0.0528,0.0000,1.0000
203,0.7992,327.38,1.0992,0.8171,-0.0927,0.0000,1.0000
204,0.8270,326.13,1.1220,0.7841,-0.0088,0.2233,1.0000
205,0.8006,328.79,1.1002,0.7952,-0.1627,0.0000,1.0000
206,0.8073,334.48,1.1073,0.7816,-0.2308,0.0000,1.0000
207,0.8278,328.26,1.1278,0.7863,-0.4317,0.0000,1.0000
208,0.8164,326.56,1.1164,0.7919,-0.2577,0.0446,1.0000
209,0.8365,332.06,1.1365,0.7882,-0.2643,0.0000,1.0000
210,0.8152,324.19,1.1152,0.8264,0.1579,0.9612,1.0000
211,0.7957,325.13,1.0957,0.8076,-0.0721,0.0000,1.0000
212,0.7961,334.63,1.0961,0.7872,-0.2187,0.0000,1.0000
213,0.8171,325.98,1.1171,0.7968,-0.1831,0.0000,1.0000
214,0.8015,330.54,1.1015,0.7960,-0.2803,0.0712,1.0000
215,0.8180,326.13,1.1180,0.7928,-0.1643,0.0000,1.0000
216,0.8365,329.44,1.1365,0.7848,-0.0976,0.0000,1.0000
217,0.8168,320.65,1.1168,0.8139,-0.0189,0.0000,1.0000
218,0.8357,331.01,1.1357,0.8041,-0.1390,0.0000,1.0000
219,0.8283,334.84,1.1283,0.7691,-0.1375,0.0000,1.0000
220,0.8291,329.75,1.1291,0.8061,-0.0904,0.0000,1.0000
221,0.8517,334.10,1.1517,0.7781,-0.1076,0.0000,1.0000
222,0.8216,322.67,1.1216,0.8052,-0.2637,1.0749,1.0000
223,0.8428,328.50,1.1428,0.8030,-0.1208,0.0000,1.0000
224,0.7988,329.22,1.0988,0.8270,-0.0962,0.1227,1.0000
225,0.8083,329.31,1.1083,0.7864,-0.4136,0.0000,1.0000
226,0.8217,322.94,1.1217,0.8098,-0.1378,0.1510,1.0000
227,0.8053,327.50,1.1053,0.7736,-0.2105,0.0000,1.0000
228,0.8488,320.28,1.1488,0.7971,-0.0538,0.2551,1.0000
229,0.8268,321.47,1.1268,0.7950,-0.2917,0.0000,1.0000
230,0.8393,319.56,1.1393,0.8056,-0.1140,0.0000,1.0000
231,0.8389,330.57,1.1389,0.7611,-0.0015,0.0000,1.0000
232,0.8610,325.47,1.1610,0.7615,0.0168,0.0000,1.0000
233,0.8100,326.82,1.1100,0.7821,-0.1386,0.0000,1.0000
234,0.8451,327.88,1.1451,0.7818,-0.0128,0.0000,1.0000
235,0.8424,330.19,1.1424,0.7799,-0.2672,0.0000,1.0000
236,0.8158,324.71,1.1144,0.8095,-0.2943,0.0000,1.0000
237,0.8387,327.16,1.1387,0.7812,-0.1530,0.0000,1.0000
238,0.7833,323.23,1.0833,0.8212,-0.2738,0.0000,1.0000
239,0.8629,331.84,1.1629,0.7529,0.0206,0.0000,1.0000
