step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
128,0.7575,0.7575,0.8402,-0.0912,0.0000,1.0000
129,0.6947,0.6947,0.8672,-0.5498,0.0023,1.0000
130,0.7268,0.7268,0.8727,-0.3123,0.3384,1.0000
131,0.6869,0.6869,0.8806,-0.3036,1.2052,1.0000
132,0.7338,0.7338,0.8674,-0.2180,0.0019,1.0000
133,0.6650,0.6650,0.8722,-0.6609,0.0000,1.0000
134,0.7100,0.7100,0.8650,-0.1212,0.0000,1.0000
135,0.7129,0.7129,0.8691,0.1426,3.5479,1.0000
136,0.7237,0.7237,0.8476,-0.3146,0.0000,1.0000
137,0.6700,0.6700,0.8664,-0.5171,0.1844,1.0000
138,0.7182,0.7182,0.8609,-0.2147,0.0544,1.0000
139,0.6981,0.6981,0.8679,0.0033,0.0000,1.0000
140,0.7302,0.7302,0.8617,-0.3848,0.0551,1.0000
141,0.6942,0.6942,0.8783,-0.1204,0.0000,1.0000
142,0.7214,0.7214,0.8680,0.0115,0.4836,1.0000
143,0.6956,0.6956,0.8877,-0.4393,0.6861,1.0000
144,0.7173,0.7173,0.8738,-0.0569,0.3691,1.0000
145,0.7007,0.7007,0.8791,-0.9173,0.4329,1.0000
146,0.7446,0.7446,0.8663,0.0196,0.5708,1.0000
147,0.7807,0.7807,0.8544,0.1679,0.0752,1.0000
148,0.7407,0.7407,0.8532,-0.5165,0.0010,1.0000
149,0.7815,0.7815,0.8478,-0.1917,0.3025,1.0000
150,0.6451,0.6451,0.8782,-0.1804,0.1591,1.0000
151,0.7413,0.7413,0.8621,-0.0016,0.6759,1.0000
152,0.7409,0.7409,0.8558,0.0513,0.7694,1.0000
153,0.7877,0.7877,0.8513,-0.1115,0.6873,1.0000
154,0.7142,0.7142,0.8584,-0.3354,0.0000,1.0000
155,0.7162,0.7162,0.8551,-0.4251,0.4418,1.0000
156,0.7027,0.7027,0.8655,-0.2283,0.4749,1.0000
157,0.7175,0.7175,0.8553,-0.4922,0.0580,1.0000
158,0.7472,0.7472,0.8575,0.1136,0.0134,1.0000
159,0.7585,0.7585,0.8648,-0.0494,0.0000,1.0000
160,0.7631,0.7631,0.8671,-0.1927,0.9018,1.0000
161,0.7270,0.7270,0.8519,-0.0046,0.0000,1.0000
162,0.6816,0.6816,0.8662,-0.3134,1.8044,1.0000
163,0.7221,0.7221,0.8655,-0.1676,0.0000,1.0000
164,0.7055,0.7055,0.8930,0.0556,0.5832,1.0000
165,0.7576,0.7576,0.8604,-0.1228,0.0000,1.0000
